word,mean_RT_ms,mean_accuracy,length,log_frequency,AoA,OLD20,concreteness,contextual_diversity,OLD20F,orthographic_neighbourhood_n,mean_D_Zscore,n_rows,n_subjects
actor,527.0,0.97,5,3.128399269,7.17,1.9,4.57,2.759667845,8.485,1,-0.669,2,2
actress,692.0,1,7,2.912753304,6.17,2.35,4.54,2.579783597,6.847,0,-0.65,1,1
actual,711.0,0.97,6,2.946943271,6.94,2.45,2.22,2.849419414,7.364,0,-0.493,4,4
actuality,914.0,1,9,1.397940009,12.38,2.95,1.96,1.361727836,6.196,0,0.431,2,2
actually,626.0,1,8,4.215901813,7.330045,2.65,1.37,3.73933496,6.737,0,-0.101,1,1
acupuncture,910.4,0.91,11,1.579783597,11.79,4.75,3.83,1.462397998,6.794,0,0.273,5,5
acute,623.0,1,5,2.178976947,11.6,1.95,1.92,2.120573931,7.862,0,-0.035,1,1
acuteness,767.0,0.94,9,0.301029996,12.95,3.3,2.41,0.301029996,5.417,0,0.3,3,3
ad,531.0,0.94,2,2.841984805,8.22,1,4.46,2.636487896,10.9,15,-0.937,1,1
adage,621.0,0.41,5,1.51851394,16.21,2,1.86,1.431363764,8.232,1,-0.148,1,1
adamant,1595.5,0.66,7,1.707570176,14.29,2.95,1.65,1.62324929,6.697,0,3.017,2,2
adapt,681.0,1,5,2.130333768,9,1.95,2.41,2.008600172,7.91,2,-0.703,3,3
adaptability,1016.333,0.9,12,0.903089987,11.65,4.1,1.38,0.903089987,6.102,0,0.292,3,3
adaptable,780.667,0.85,9,1.255272505,9.37,3.5,1.85,1.230448921,6.159,0,-0.464,3,3
adaptation,790.0,0.94,10,1.913813852,11.39,3.2,2.04,1.851258349,6.547,0,-0.004,3,3
adapter,688.5,1,7,1.079181246,11.79,2.6,3.82,0.903089987,7.002,1,-0.297,2,2
add,554.5,1,3,3.227115083,5.1,1.6,3,3.123851641,9.157,10,-0.788,2,2
addendum,1056.0,0.48,8,1.204119983,15.65,3.95,3.44,1.113943352,7.014,0,1.192,1,1
adder,672.75,0.49,5,1.86923172,12.13,1.8,,1.278753601,7.187,5,-0.53,4,4
addict,741.0,0.97,6,2.437750563,11.17,2.45,3.14,2.28780173,7.289,0,-0.4,3,3
addiction,554.0,0.97,9,2.301029996,12.11,2.7,2.85,2.117271296,7.701,0,-0.761,1,1
addition,531.333,0.91,8,2.597695186,5.763466,2.35,2.89,2.558708571,7.706,1,-0.919,3,3
additional,783.667,0.97,10,2.478566496,9,3.4,2.43,2.439332694,7.509,0,-0.136,3,3
additive,605.5,0.97,8,1.079181246,12.28,3.1,3.56,0.954242509,7.021,0,-0.255,2,2
address,575.333,1,7,3.426023016,5.15,2.45,3.89,3.22762965,6.712,0,-0.304,3,3
addressee,1133.5,0.67,9,0.84509804,9.95,3.1,3.16,0.84509804,7.042,2,0.447,2,2
adept,1188.5,0.75,5,1.531478917,12.5,1.9,2.23,1.505149978,7.804,2,0.346,2,2
adequacy,931.0,0.9,8,0.301029996,12.5,3.7,1.86,0.301029996,6.782,0,0.501,2,2
adequate,680.0,0.97,8,2.123851641,10.35,3.15,1.97,2.049218023,6.329,0,-0.35,3,3
adhere,715.5,0.94,6,1.477121255,10.78,2,2.62,1.477121255,7.468,0,-0.544,2,2
